,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.15881,0.33049,0.24683,0.43716,0.56229,0.54090,corporate,0.61611,2021
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.09314,0.35013,0.27253,0.46906,0.57513,0.55656,corporate,0.12049,2021
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.09342,0.35004,0.27240,0.46892,0.57507,0.55649,corporate,0.45785,2021
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.22905,0.30001,0.18756,0.59568,0.39785,0.43990,non-corporate,0.36420,2021
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.25277,0.29079,0.17580,0.58788,0.38992,0.43180,non-corporate,0.57959,2021
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.19797,0.31156,0.20250,0.60590,0.40778,0.45020,non-corporate,0.23827,2021
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.25620,0.28916,0.17383,0.58674,0.38851,0.43043,non-corporate,0.46387,2021
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.22834,0.30010,0.18774,0.59591,0.39792,0.44002,non-corporate,0.34606,2021
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.23343,0.29830,0.18537,0.59424,0.39637,0.43839,non-corporate,0.47883,2021
151,Information,167179370661.11032,,Information,-0.27543,0.28135,0.16400,0.58042,0.38180,0.42366,non-corporate,0.57345,2021
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.25399,0.29031,0.17520,0.58747,0.38951,0.43138,non-corporate,0.43965,2021
153,Manufacturing,649562708068.65234,,Manufacturing,-0.23872,0.29492,0.18156,0.59250,0.39347,0.43577,non-corporate,0.49109,2021
154,Mining,317661770013.00690,,Mining,-0.22972,0.29975,0.18722,0.59546,0.39762,0.43967,non-corporate,0.62964,2021
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.23741,0.29665,0.18331,0.59293,0.39496,0.43697,non-corporate,0.42400,2021
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.30743,0.26942,0.14864,0.56989,0.37153,0.41307,non-corporate,0.66638,2021
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.22931,0.29992,0.18744,0.59559,0.39777,0.43982,non-corporate,0.09331,2021
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.22964,0.29978,0.18727,0.59548,0.39765,0.43970,non-corporate,0.53025,2021
162,Overall,20307631130712.19531,,Overall,-0.09605,0.34847,0.27067,0.46765,0.57404,0.55543,corporate,0.38918,2021
163,Overall,17036588869287.80469,,Overall,-0.22615,0.30093,0.18880,0.59663,0.39864,0.44076,non-corporate,0.21375,2021
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09298,0.35017,0.27258,0.47027,0.57483,0.55652,corporate,0.21358,2022
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.09070,0.35073,0.27337,0.47138,0.57520,0.55700,corporate,0.36974,2022
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.12406,0.34115,0.26066,0.45521,0.56893,0.54925,corporate,0.59792,2022
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.09345,0.35001,0.27238,0.47004,0.57472,0.55640,corporate,0.37635,2022
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.05605,0.35952,0.28563,0.48817,0.58095,0.56448,corporate,0.26026,2022
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.08842,0.35131,0.27417,0.47248,0.57558,0.55749,corporate,0.28726,2022
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.14480,0.33429,0.25193,0.44515,0.56444,0.54393,corporate,0.47021,2022
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.09318,0.35011,0.27250,0.47017,0.57479,0.55648,corporate,0.33671,2022
8,Construction,167674309864.62842,2300,Construction,-0.06873,0.35620,0.28104,0.48202,0.57878,0.56168,corporate,0.35497,2022
9,Educational services,321852356259.17963,6100,Educational services,-0.10229,0.34739,0.26893,0.46576,0.57301,0.55430,corporate,0.35453,2022
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.09779,0.34878,0.27074,0.46794,0.57392,0.55540,corporate,0.55063,2022
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.09845,0.34832,0.27024,0.46762,0.57362,0.55510,corporate,0.30910,2022
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.11431,0.34396,0.26437,0.45993,0.57077,0.55152,corporate,0.49445,2022
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.09362,0.35000,0.27235,0.46996,0.57472,0.55638,corporate,0.25994,2022
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.09645,0.34911,0.27119,0.46859,0.57413,0.55568,corporate,0.49098,2022
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.09670,0.34907,0.27113,0.46847,0.57411,0.55564,corporate,0.38451,2022
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.09560,0.34941,0.27157,0.46900,0.57433,0.55591,corporate,0.40061,2022
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.09459,0.34960,0.27187,0.46949,0.57446,0.55609,corporate,0.38508,2022
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.18798,0.32170,0.23541,0.42423,0.55620,0.53386,corporate,0.59557,2022
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.19985,0.31618,0.22895,0.41847,0.55259,0.52992,corporate,0.61753,2022
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.11049,0.34478,0.26557,0.46178,0.57130,0.55225,corporate,0.47788,2022
21,Information and data processing services,118194411065.82817,5140,Information,-0.18267,0.32445,0.23856,0.42680,0.55800,0.53578,corporate,0.69818,2022
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.11571,0.34362,0.26389,0.45925,0.57054,0.55123,corporate,0.37802,2022
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.07350,0.35441,0.27883,0.47971,0.57761,0.56034,corporate,0.41208,2022
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.07966,0.35309,0.27687,0.47672,0.57674,0.55914,corporate,0.43664,2022
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.04567,0.36156,0.28878,0.49320,0.58228,0.56640,corporate,0.29616,2022
26,Wood products,45996624948.83839,3210,Manufacturing,-0.07467,0.35427,0.27856,0.47915,0.57751,0.56017,corporate,0.36274,2022
27,Paper products,129541595783.22841,3220,Manufacturing,-0.09214,0.34933,0.27193,0.47068,0.57428,0.55613,corporate,0.49110,2022
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.10288,0.34642,0.26798,0.46547,0.57237,0.55372,corporate,0.53368,2022
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.07922,0.35324,0.27706,0.47694,0.57684,0.55925,corporate,0.28997,2022
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.14160,0.33285,0.25099,0.44670,0.56350,0.54336,corporate,0.53708,2022
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.08553,0.35066,0.27396,0.47388,0.57515,0.55736,corporate,0.47331,2022
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.08664,0.35117,0.27427,0.47334,0.57548,0.55755,corporate,0.36581,2022
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.07111,0.35539,0.28001,0.48087,0.57824,0.56105,corporate,0.43497,2022
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.07672,0.35354,0.27764,0.47815,0.57703,0.55961,corporate,0.46657,2022
35,Machinery,272319888399.54382,3330,Manufacturing,-0.09257,0.34807,0.27075,0.47047,0.57346,0.55541,corporate,0.46578,2022
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.18718,0.32274,0.23649,0.42461,0.55688,0.53452,corporate,0.59129,2022
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.08683,0.34945,0.27271,0.47325,0.57436,0.55660,corporate,0.39817,2022
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.11569,0.34225,0.26268,0.45926,0.56965,0.55049,corporate,0.50808,2022
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.08071,0.35095,0.27484,0.47621,0.57534,0.55790,corporate,0.38653,2022
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.07991,0.35242,0.27624,0.47660,0.57630,0.55875,corporate,0.41218,2022
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.10982,0.34272,0.26380,0.46211,0.56995,0.55117,corporate,0.46717,2022
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.09375,0.34995,0.27228,0.46990,0.57469,0.55634,corporate,0.58703,2022
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.08695,0.35165,0.27466,0.47319,0.57580,0.55779,corporate,0.42548,2022
44,Support activities for mining,120225750260.04312,2130,Mining,-0.09137,0.35043,0.27301,0.47105,0.57500,0.55679,corporate,0.60207,2022
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.09861,0.34832,0.27022,0.46754,0.57362,0.55508,corporate,0.34653,2022
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.09856,0.34857,0.27046,0.46757,0.57379,0.55523,corporate,0.49829,2022
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.16319,0.32904,0.24499,0.43624,0.56100,0.53970,corporate,0.62578,2022
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.16320,0.33024,0.24611,0.43624,0.56179,0.54039,corporate,0.61504,2022
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.09320,0.35012,0.27251,0.47016,0.57480,0.55648,corporate,0.06752,2022
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.09254,0.35027,0.27272,0.47048,0.57489,0.55661,corporate,0.66400,2022
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.06228,0.35783,0.28332,0.48515,0.57984,0.56307,corporate,0.26425,2022
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.09285,0.35018,0.27261,0.47033,0.57484,0.55654,corporate,0.56302,2022
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.09359,0.35001,0.27236,0.46997,0.57473,0.55639,corporate,0.33984,2022
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.09278,0.35021,0.27264,0.47037,0.57485,0.55656,corporate,0.53974,2022
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.09376,0.34993,0.27227,0.46989,0.57467,0.55633,corporate,0.62503,2022
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.09354,0.35003,0.27238,0.47000,0.57474,0.55640,corporate,0.49094,2022
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.09374,0.34998,0.27231,0.46990,0.57470,0.55636,corporate,0.46654,2022
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.09352,0.34995,0.27232,0.47001,0.57469,0.55636,corporate,0.44501,2022
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.09264,0.35020,0.27265,0.47044,0.57485,0.55656,corporate,0.35967,2022
60,Utilities,2043224620805.23413,2200,Utilities,-0.09274,0.35022,0.27265,0.47038,0.57486,0.55657,corporate,0.40961,2022
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.03275,0.36522,0.29373,0.49946,0.58468,0.56942,corporate,0.27086,2022
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.23192,0.30126,0.18837,0.59653,0.39885,0.44071,non-corporate,0.31786,2022
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.22919,0.30226,0.18966,0.59742,0.39971,0.44160,non-corporate,0.47762,2022
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.26737,0.28763,0.17095,0.58492,0.38712,0.42871,non-corporate,0.64366,2022
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.23167,0.30133,0.18846,0.59661,0.39891,0.44077,non-corporate,0.45594,2022
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.19202,0.31598,0.20744,0.60959,0.41152,0.45385,non-corporate,0.26219,2022
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.22991,0.30200,0.18933,0.59719,0.39949,0.44137,non-corporate,0.14742,2022
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.29342,0.27707,0.15767,0.57639,0.37804,0.41955,non-corporate,0.54446,2022
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.23089,0.30164,0.18885,0.59686,0.39917,0.44104,non-corporate,0.39735,2022
70,Construction,416883328410.43872,2300,Construction,-0.22002,0.30559,0.19400,0.60042,0.40257,0.44459,non-corporate,0.30565,2022
71,Educational services,223504007264.40912,6100,Educational services,-0.24223,0.29723,0.18323,0.59315,0.39538,0.43717,non-corporate,0.42474,2022
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.22788,0.30263,0.19019,0.59785,0.40003,0.44196,non-corporate,0.56116,2022
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.22830,0.30239,0.18991,0.59771,0.39982,0.44177,non-corporate,0.24357,2022
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.25432,0.29260,0.17732,0.58919,0.39140,0.43309,non-corporate,0.52277,2022
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.23156,0.30139,0.18854,0.59664,0.39896,0.44082,non-corporate,0.28752,2022
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.23549,0.29984,0.18657,0.59536,0.39763,0.43947,non-corporate,0.56018,2022
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.23574,0.29977,0.18646,0.59528,0.39756,0.43940,non-corporate,0.45416,2022
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.23444,0.30028,0.18711,0.59570,0.39800,0.43984,non-corporate,0.47219,2022
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.23435,0.30028,0.18713,0.59573,0.39801,0.43986,non-corporate,0.43290,2022
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.32640,0.26434,0.14146,0.56558,0.36709,0.40838,non-corporate,0.58147,2022
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.35291,0.25296,0.12737,0.55690,0.35730,0.39868,non-corporate,0.66878,2022
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.24941,0.29427,0.17952,0.59080,0.39283,0.43461,non-corporate,0.53381,2022
83,Information and data processing services,9622690880.85332,5140,Information,-0.33175,0.26324,0.13972,0.56383,0.36614,0.40718,non-corporate,0.71319,2022
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.25619,0.29189,0.17640,0.58858,0.39078,0.43246,non-corporate,0.43969,2022
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.20006,0.31264,0.20325,0.60696,0.40864,0.45097,non-corporate,0.41873,2022
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.21080,0.30878,0.19821,0.60345,0.40532,0.44749,non-corporate,0.47192,2022
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.18156,0.31951,0.21215,0.61302,0.41455,0.45710,non-corporate,0.33342,2022
88,Wood products,13100141973.28175,3210,Manufacturing,-0.20989,0.30905,0.19859,0.60374,0.40556,0.44775,non-corporate,0.40372,2022
89,Paper products,18990987477.15243,3220,Manufacturing,-0.22399,0.30355,0.19158,0.59912,0.40082,0.44292,non-corporate,0.52512,2022
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.23723,0.29855,0.18515,0.59479,0.39652,0.43849,non-corporate,0.57639,2022
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.21048,0.30889,0.19836,0.60355,0.40541,0.44759,non-corporate,0.34310,2022
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.28102,0.28023,0.16228,0.58045,0.38076,0.42273,non-corporate,0.57166,2022
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.21191,0.30785,0.19721,0.60308,0.40452,0.44680,non-corporate,0.47825,2022
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.21844,0.30585,0.19446,0.60094,0.40280,0.44491,non-corporate,0.40250,2022
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.19767,0.31372,0.20458,0.60774,0.40957,0.45188,non-corporate,0.45531,2022
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.20570,0.31050,0.20050,0.60511,0.40679,0.44907,non-corporate,0.48666,2022
97,Machinery,44994036766.64782,3330,Manufacturing,-0.21582,0.30599,0.19496,0.60180,0.40292,0.44525,non-corporate,0.45299,2022
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.33578,0.26138,0.13746,0.56251,0.36454,0.40563,non-corporate,0.62750,2022
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.21261,0.30710,0.19643,0.60285,0.40388,0.44627,non-corporate,0.40290,2022
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.24790,0.29417,0.17965,0.59129,0.39275,0.43470,non-corporate,0.51813,2022
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.20474,0.31006,0.20025,0.60543,0.40642,0.44890,non-corporate,0.37374,2022
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.20883,0.30915,0.19883,0.60409,0.40564,0.44792,non-corporate,0.43972,2022
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.23668,0.29767,0.18443,0.59497,0.39576,0.43800,non-corporate,0.47236,2022
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.23250,0.30104,0.18808,0.59634,0.39866,0.44051,non-corporate,0.65772,2022
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.22780,0.30276,0.19031,0.59788,0.40014,0.44205,non-corporate,0.44739,2022
106,Support activities for mining,25044165259.49403,2130,Mining,-0.23156,0.30131,0.18846,0.59664,0.39889,0.44077,non-corporate,0.65951,2022
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.23953,0.29821,0.18451,0.59404,0.39622,0.43805,non-corporate,0.42404,2022
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.23785,0.29898,0.18545,0.59458,0.39689,0.43870,non-corporate,0.55349,2022
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.31667,0.26838,0.14650,0.56877,0.37056,0.41186,non-corporate,0.67837,2022
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.31566,0.26957,0.14773,0.56910,0.37158,0.41271,non-corporate,0.66063,2022
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.23141,0.30146,0.18862,0.59670,0.39902,0.44088,non-corporate,0.08201,2022
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.23018,0.30190,0.18919,0.59710,0.39940,0.44127,non-corporate,0.70779,2022
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.16811,0.32493,0.21900,0.61743,0.41921,0.46182,non-corporate,0.23760,2022
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.23093,0.30161,0.18882,0.59685,0.39915,0.44102,non-corporate,0.63285,2022
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.23202,0.30123,0.18832,0.59649,0.39882,0.44068,non-corporate,0.41096,2022
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.23088,0.30164,0.18886,0.59687,0.39917,0.44104,non-corporate,0.60959,2022
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.23207,0.30118,0.18827,0.59648,0.39878,0.44064,non-corporate,0.68440,2022
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.23177,0.30132,0.18844,0.59658,0.39890,0.44076,non-corporate,0.55972,2022
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.23223,0.30115,0.18822,0.59643,0.39876,0.44061,non-corporate,0.54114,2022
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.23154,0.30136,0.18851,0.59665,0.39893,0.44080,non-corporate,0.51060,2022
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.23131,0.30145,0.18863,0.59673,0.39901,0.44089,non-corporate,0.43376,2022
122,Utilities,110848021471.32501,2200,Utilities,-0.23100,0.30160,0.18880,0.59683,0.39914,0.44101,non-corporate,0.47832,2022
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.14297,0.33440,0.23124,0.62566,0.42736,0.47025,non-corporate,0.20218,2022
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.09206,0.35039,0.27290,0.47072,0.57498,0.55672,corporate,0.27676,2022
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.11177,0.34468,0.26533,0.46116,0.57124,0.55210,corporate,0.51045,2022
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.05879,0.35882,0.28464,0.48684,0.58049,0.56388,corporate,0.26262,2022
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.11514,0.34329,0.26366,0.45953,0.57033,0.55108,corporate,0.39501,2022
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.10121,0.34775,0.26938,0.46628,0.57324,0.55458,corporate,0.50495,2022
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.09647,0.34913,0.27121,0.46858,0.57415,0.55569,corporate,0.41242,2022
132,Information,1889701924722.87842,,Information,-0.13520,0.33704,0.25557,0.44981,0.56624,0.54615,corporate,0.52482,2022
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.11571,0.34362,0.26389,0.45925,0.57054,0.55123,corporate,0.37802,2022
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.10951,0.34344,0.26449,0.46226,0.57043,0.55159,corporate,0.46863,2022
135,Mining,1516828156663.24072,,Mining,-0.09271,0.35020,0.27264,0.47040,0.57485,0.55656,corporate,0.56796,2022
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.09861,0.34832,0.27022,0.46754,0.57362,0.55508,corporate,0.34653,2022
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.15881,0.33049,0.24683,0.43836,0.56195,0.54083,corporate,0.61611,2022
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.09314,0.35013,0.27253,0.47019,0.57481,0.55649,corporate,0.12049,2022
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.09342,0.35004,0.27240,0.47005,0.57474,0.55642,corporate,0.45785,2022
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.23113,0.30155,0.18874,0.59679,0.39910,0.44097,non-corporate,0.36423,2022
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.25496,0.29236,0.17701,0.58898,0.39119,0.43288,non-corporate,0.57963,2022
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.19972,0.31312,0.20374,0.60707,0.40905,0.45130,non-corporate,0.23829,2022
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.25842,0.29073,0.17503,0.58785,0.38979,0.43152,non-corporate,0.46391,2022
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.23037,0.30165,0.18894,0.59704,0.39919,0.44110,non-corporate,0.34608,2022
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.23553,0.29984,0.18656,0.59534,0.39763,0.43946,non-corporate,0.47888,2022
151,Information,167179370661.11032,,Information,-0.27772,0.28295,0.16523,0.58153,0.38310,0.42476,non-corporate,0.57349,2022
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.25619,0.29189,0.17640,0.58858,0.39078,0.43246,non-corporate,0.43969,2022
153,Manufacturing,649562708068.65234,,Manufacturing,-0.24064,0.29654,0.18284,0.59367,0.39479,0.43690,non-corporate,0.49112,2022
154,Mining,317661770013.00690,,Mining,-0.23179,0.30129,0.18841,0.59657,0.39887,0.44074,non-corporate,0.62968,2022
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.23953,0.29821,0.18451,0.59404,0.39622,0.43805,non-corporate,0.42404,2022
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.30991,0.27105,0.14988,0.57098,0.37286,0.41418,non-corporate,0.66642,2022
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.23138,0.30147,0.18863,0.59670,0.39903,0.44089,non-corporate,0.09332,2022
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.23171,0.30133,0.18845,0.59660,0.39891,0.44077,non-corporate,0.53029,2022
162,Overall,20307631130712.19531,,Overall,-0.09605,0.34847,0.27067,0.46878,0.57372,0.55536,corporate,0.38918,2022
163,Overall,17036588869287.80469,,Overall,-0.22816,0.30248,0.19001,0.59776,0.39990,0.44184,non-corporate,0.21377,2022
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09298,0.35017,0.27258,0.47196,0.57489,0.55687,corporate,0.21358,2023
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.09070,0.35073,0.27337,0.47306,0.57526,0.55735,corporate,0.36974,2023
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.12406,0.34115,0.26066,0.45695,0.56900,0.54961,corporate,0.59792,2023
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.09345,0.35001,0.27238,0.47174,0.57479,0.55675,corporate,0.37635,2023
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.05605,0.35952,0.28563,0.48981,0.58101,0.56482,corporate,0.26026,2023
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.08842,0.35131,0.27417,0.47416,0.57564,0.55784,corporate,0.28726,2023
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.14480,0.33429,0.25193,0.44693,0.56450,0.54429,corporate,0.47021,2023
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.09318,0.35011,0.27250,0.47186,0.57486,0.55682,corporate,0.33671,2023
8,Construction,167674309864.62842,2300,Construction,-0.06873,0.35620,0.28104,0.48368,0.57884,0.56203,corporate,0.35497,2023
9,Educational services,321852356259.17963,6100,Educational services,-0.10229,0.34739,0.26893,0.46746,0.57308,0.55465,corporate,0.35453,2023
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.09779,0.34878,0.27074,0.46964,0.57398,0.55575,corporate,0.55063,2023
